intake_id,ref,source_item_id,disposition,target_records,grounds_note
37,INTK-0037,[PKG-109],parked,,Parked: [PKG-109] has no resolvable MDL deliverable/package anchor (anchor suggestion '26020-01 - Deep Cut' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
38,INTK-0038,[PKG-110],parked,,Parked: [PKG-110] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. composite row naming two subjects (PFD and P&ID); no single anchor. (D-PEC-10 triage-01 R3-A)
39,INTK-0039,[PKG-111],parked,,Parked: [PKG-111] has no resolvable MDL deliverable/package anchor; work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
40,INTK-0040,[PKG-112],parked,,Parked: [PKG-112] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
41,INTK-0041,[PKG-113],"LEFT-FOR-OWNER (un-dispositioned, state=raised)",,"R1(a): pros/cons options analysis; decision-shaped, authority not named in source"
42,INTK-0042,[PKG-114],parked,,Parked: [PKG-114] has no resolvable MDL deliverable/package anchor; work items must be anchored at creation. nearest MDL title '3D Model' is not an exact match; anchor ambiguous. (D-PEC-10 triage-01 R3-A)
43,INTK-0043,[PKG-115],parked,,Parked: [PKG-115] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
44,INTK-0044,[PKG-116],parked,,Parked: [PKG-116] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
45,INTK-0045,[PKG-121],parked,,Parked: [PKG-121] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. matches four MDL deliverables of the Pipe Rack Modules package (SOW/TDS/VDR/BEC); single anchor ambiguous. (D-PEC-10 triage-01 R3-A)
46,INTK-0046,[PKG-123],"LEFT-FOR-OWNER (un-dispositioned, state=raised)",,R1(c): permit amendment — regulatory filing judgment
47,INTK-0047,[PKG-124],"LEFT-FOR-OWNER (un-dispositioned, state=raised)",,R1(c): new permit — regulatory filing judgment
48,INTK-0048,[PKG-125],parked,,Parked: [PKG-125] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
49,INTK-0049,[PKG-126],parked,,Parked: [PKG-126] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
50,INTK-0050,[PKG-127],parked,,Parked: [PKG-127] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
51,INTK-0051,[PKG-128],parked,,Parked: [PKG-128] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
52,INTK-0052,[PKG-129],parked,,Parked: [PKG-129] has no resolvable MDL deliverable/package anchor (anchor suggestion '26020-01 - Deep Cut' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
53,INTK-0053,[PKG-130],parked,,Parked: [PKG-130] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
54,INTK-0054,[PKG-131],parked,,Parked: [PKG-131] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
55,INTK-0055,[PKG-133],parked,,Parked: [PKG-133] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
56,INTK-0056,[PKG-134],parked,,Parked: [PKG-134] has no resolvable MDL deliverable/package anchor (anchor suggestion 'Common' does not resolve to a package or deliverable); work items must be anchored at creation. (D-PEC-10 triage-01 R3-A)
57,INTK-0057,[PKG-135],parked,,Parked: [PKG-135] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
58,INTK-0058,[PKG-136],parked,,Parked: [PKG-136] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
59,INTK-0059,[PKG-137],parked,,Parked: [PKG-137] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
60,INTK-0060,[PKG-138],parked,,Parked: [PKG-138] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
61,INTK-0061,[PKG-139],parked,,Parked: [PKG-139] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
62,INTK-0062,[PKG-140],parked,,Parked: [PKG-140] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
63,INTK-0063,[PKG-141],parked,,Parked: [PKG-141] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
64,INTK-0064,[PKG-142],parked,,Parked: [PKG-142] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
65,INTK-0065,[PKG-143],parked,,Parked: [PKG-143] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
66,INTK-0066,[PKG-144],parked,,Parked: [PKG-144] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
67,INTK-0067,[PKG-145],parked,,Parked: [PKG-145] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
68,INTK-0068,[PKG-146],parked,,Parked: [PKG-146] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
69,INTK-0069,[PKG-147],parked,,Parked: [PKG-147] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
70,INTK-0070,[PKG-148],parked,,Parked: [PKG-148] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
71,INTK-0071,[PKG-149],parked,,Parked: [PKG-149] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
72,INTK-0072,[PKG-150],parked,,Parked: [PKG-150] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
73,INTK-0073,[PKG-151],parked,,Parked: [PKG-151] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
74,INTK-0074,[PKG-152],parked,,Parked: [PKG-152] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
75,INTK-0075,[PKG-153],parked,,Parked: [PKG-153] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
76,INTK-0076,[PKG-154],parked,,Parked: [PKG-154] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
77,INTK-0077,[PKG-155],parked,,Parked: [PKG-155] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
78,INTK-0078,[PKG-156],parked,,Parked: [PKG-156] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
79,INTK-0079,[PKG-157],parked,,Parked: [PKG-157] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
80,INTK-0080,[PKG-158],parked,,Parked: [PKG-158] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
81,INTK-0081,[PKG-159],parked,,Parked: [PKG-159] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
82,INTK-0082,[PKG-160],parked,,Parked: [PKG-160] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
83,INTK-0083,[PKG-161],parked,,Parked: [PKG-161] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
84,INTK-0084,[PKG-162],parked,,Parked: [PKG-162] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
85,INTK-0085,[PKG-163],parked,,Parked: [PKG-163] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
86,INTK-0086,[PKG-164],parked,,Parked: [PKG-164] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
87,INTK-0087,[PKG-165],parked,,Parked: [PKG-165] is a month-scoped level-of-effort plan row (need-by 2026-09-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
88,INTK-0088,[PKG-166],parked,,Parked: [PKG-166] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
89,INTK-0089,[PKG-167],parked,,Parked: [PKG-167] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
90,INTK-0090,[PKG-168],parked,,Parked: [PKG-168] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
91,INTK-0091,[PKG-169],parked,,Parked: [PKG-169] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
92,INTK-0092,[PKG-170],parked,,Parked: [PKG-170] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
93,INTK-0093,[PKG-171],parked,,Parked: [PKG-171] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
94,INTK-0094,[PKG-172],parked,,Parked: [PKG-172] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
95,INTK-0095,[PKG-173],parked,,Parked: [PKG-173] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
96,INTK-0096,[PKG-174],parked,,Parked: [PKG-174] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
97,INTK-0097,[PKG-175],parked,,Parked: [PKG-175] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
98,INTK-0098,[PKG-176],parked,,Parked: [PKG-176] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
99,INTK-0099,[PKG-177],parked,,Parked: [PKG-177] is a month-scoped level-of-effort plan row (need-by 2026-06-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
100,INTK-0100,[PKG-178],parked,,Parked: [PKG-178] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
101,INTK-0101,[PKG-179],parked,,Parked: [PKG-179] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
102,INTK-0102,[PKG-180],parked,,Parked: [PKG-180] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
103,INTK-0103,[PKG-181],parked,,Parked: [PKG-181] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
104,INTK-0104,[PKG-182],parked,,Parked: [PKG-182] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
105,INTK-0105,[PKG-183],parked,,Parked: [PKG-183] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
106,INTK-0106,[PKG-184],parked,,Parked: [PKG-184] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
107,INTK-0107,[PKG-185],parked,,Parked: [PKG-185] is a month-scoped level-of-effort plan row (need-by 2026-07-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
108,INTK-0108,[PKG-186],parked,,Parked: [PKG-186] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
109,INTK-0109,[PKG-187],parked,,Parked: [PKG-187] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
110,INTK-0110,[PKG-188],parked,,Parked: [PKG-188] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
111,INTK-0111,[PKG-189],parked,,Parked: [PKG-189] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
112,INTK-0112,[PKG-190],parked,,Parked: [PKG-190] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
113,INTK-0113,[PKG-191],parked,,Parked: [PKG-191] is a month-scoped level-of-effort plan row (need-by 2026-08-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
114,INTK-0114,[PKG-192],parked,,Parked: [PKG-192] is a month-scoped level-of-effort plan row (need-by 2026-09-30); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
115,INTK-0115,[PKG-193],parked,,Parked: [PKG-193] is a month-scoped level-of-effort plan row (need-by 2026-05-31); intake conversion families (work item/hold/risk/decision/approval record/interface) do not include plan items and no single deliverable anchor is resolvable from the row. (D-PEC-10 triage-01 R3-B)
